"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Short Description"
"C1","1","4.7uF, 50V, X7R (0805)","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2","1","22uF, 10V, X7R (1206)","","","","Capacitor_SMD:C_1206_3216Metric",""
"C3","1","10pF, 50V, X7R (0805)","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1,D2","2","SS14","","","","Diode_SMD:D_SMA",""
"J1,J2,J3","3","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","BAT,ON/OFF,OUT"
"J4","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","SOLAR"
"L1","1","LQW15AN1N3C80D","","","","IND_LQW15_MUR",""
"Q1","1","2N7002","","","","digikey-footprints:SOT-23-3",""
"R1,R4","2","1MOhm","","","","Resistor_SMD:R_0805_2012Metric",""
"R2","1","604 kOhm","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","10kOhm","","","","Resistor_SMD:R_0805_2012Metric",""
"U1","1","AP3015AKTR-G1","","","","footprints:SOT23-5_1P55X2P9_DIO",""
